Title,Abstract,Year,Authors,Source title,Author Keywords,Index Keywords,Cited by,Affiliations,DOI,Document Type,Language of Original Document
Employee Reskilling and Upskilling Strategies in the Age of Artificial Intelligence: A Strategic Human Resource Management Perspective,"The fast pace of Artificial Intelligence (AI), automation, machine learning, and digital technologies is reshaping the way we define and look for workforce needs and changing our approach towards talent management in an organization. The aim of the study is to explore employee reskilling and upskilling strategies through a Strategic Human Resource Management (SHRM) lens with a focus on its importance for organisations to adapt to the AI-driven change of the workplace. The study reviews current academic and industry publications in the last seven years (2019-2026) using a qualitative and literature-based research approach, to determine emerging trends in the workforce, critical competencies, and effective learning strategies. The results indicate that digital literacy, data analytics, awareness of AI, critical thinking, creativity, adaptability, and emotional intelligence are becoming important skills for organizations to ensure that their workforce is ready to meet the challenges of the modern workplace. The role of strategic HRM in the promotion of continuous learning cultures, linking training to organisational goals and sustaining competitive advantage are all important. The study finds that the success of AI adoption is not only about investing in technology, but also about ongoing training and development of the workforce with carefully planned reskilling and upskilling programs, to boost organizational agility, employee employability, innovation potential and long-term business resilience. © 2026, University of Hawaii Press. All rights reserved.",2026,Chaudhary D.; Punjani S.,Journal of Daoist Studies,Artificial Intelligence (AI); Employee Reskilling; Employee Upskilling; Strategic Human Resource Management (SHRM); Workforce Development,Not Available,0,"School of Leadership and Management, Manav Rachna International Institute of Research and Studies, Haryana, Faridabad, India",Not Available,Article,English
Entrepreneurship education in The International Journal of Management Education (2013–2024): A performance analysis and conceptual structure,"The International Journal of Management Education has remained an important avenue over the years in advancing entrepreneurship education research. However, knowledge on the performance analysis and conceptual structure regarding the same remains unknown. This review employs bibliometric analysis to examine the performance metrics and conceptual structure of entrepreneurship education in the journal, based on data from 158 publications conducted from 2013 to 2024. A co-word analysis unveils six thematic clusters on (1) Entrepreneurship and higher education: a content analysis and systematic literature review (SLR); (2) The impact of entrepreneurship education and its relationship with entrepreneurial learning, mindset, skills, and opportunity recognition; (3) Entrepreneurship and enterprise education for competencies and employability: the experiential and problem-based learning approaches; (4) Pedagogies and entrepreneurial attitudes towards sustainable entrepreneurship among university students; (5) The role of entrepreneurial self-efficacy, entrepreneurial passion and gender on entrepreneurial intention: a fuzzy-set qualitative comparative analysis (fsQCA); and (6) The application of the theory of planned behavior (TPB) in entrepreneurship education research, student entrepreneurship and entrepreneurial university. For the period between 2013 and 2024, the review revealed limited research from regions in the Southern Hemisphere, and scant evidence on the integration of artificial intelligence in entrepreneurship education. This review offers several implications for educators, policymakers, and researchers in business and management education. © 2026 Elsevier Ltd",2026,Changalima I.A.; Ismail I.J.,International Journal of Management Education,Bibliometric analysis; Business education; Entrepreneurship education; Management education; Sustainable entrepreneurship; The International Journal of Management Education,Not Available,0,"Department of Business Administration and Management, The University of Dodoma, Dodoma City, Tanzania",10.1016/j.ijme.2026.101418,Article,English
University extra-curricular activities and employability: A graduate tracer study on ENACTUS program graduates from Kenya universities,"Extra-curricular activities do not involve grading or credit awards towards student’s academic performance. This makes them ‘inconsequential’ to many students or parents whose concern is the final degree and see them as an opportunity cost or as zero sum activity further aggravated by universities rarely or never funding them. Participation in extra-curricular activities depends on students’ motivation and goal achievement through the activity. Depth and width of benefits from the self-regulated learning is driven by student’s readiness to gain from the activity and super ordinated goals on future use of the skills and competencies. This paper documents a graduate tracer study conducted on a group of students (all under full-time mode of study) who had participated in Entrepreneurial Actions in Us (ENACTUS) program as an extra-curricular activity in the Kenyan universities. The study hypothesized a positive relationship between extra-curricular activities and employability. It aimed to unearthed skills gained from ENACTUS projects and how they have contributed to graduates’ success in employability. It also looked into the uptake of self-employment by graduates and how extra-curricular activities can help. Finally, quality and relevance of training received and how it can be improved were assessed. Mixed research methodology was used. Snowball and purposive sampling method was used to get graduates who participated in ENACTUS project activities. Questionnaires were used to collect data in Google form format. Both quantitative and qualitative data were analyzed. From this study, extra-curricular activities through ENACTUS program in Kenya are giving skills which are ultimately assisting graduates to gain employability. Most of the graduates with these skills gain employability within the first 6 months. There is a paradigm shift in employability as some of the graduates are engaging in self-employment and most of those in formal employment are concurrently also engaging in self-employed activities. The study recommends change on educational policy to make extra-curricular activities prestigious by recognizing them as tools enhancing employability. Additionally, flexibility on the curricula should be encouraged to enhance relevant skills development especially in the fast-moving world as a result of technology and artificial intelligence. Recognition and appreciation of faculty advisors should also be put in practiced for 360° motivation for sense of belonging and achievement. The study also recommends flexibility on graduates for identification of opportunities and use locally available resources to solve problems. This will enable them have social enterprises and therefore bridge gaps of unemployment. © The Author(s) 2025",2026,Ragui M.,Industry and Higher Education,Bricolage; economic engagement; entrepreneurship; mentorship; self-employment; soft skills,Not Available,0,"Kenyatta University, Kenya",10.1177/09504222251327283,Article,English
"Illustrations and Interdisciplinary Pedagogical Implications in Brian Jacques’ Selected Work Using Midjourney, ChatGPT and DALL-E","Illustrations are widely acclaimed form of communication particularly in children’s literature. The ability of illustrators is exemplified through the creative and innovative picturization of a story. In the world where Machine Learning has a prominent role and position in every field, the boundary of literature has expanded through the employment of Artificial Intelligence (AI) tools. Therefore, taking this into account, this paper uses quantitative approach to examine efficiency of illustration production by three main AI tools like Midjourney, ChatGPT, and DALL-E through prompts taken from Mariel of Redwall, a novel for children. The study reveals creative, modern, and novel illustrations for the selected prompts by showcasing the significance of application of AI tools in education which can be used as a pedagogical method in classroom. Though the prompts are the same for all the three AI tools, the resultant illustrations differ from each other. Further, from each prompt interdisciplinary aspects are identified by descriptive and textual analysis. The study has invented new modern illustrations for the novel, Mariel of Redwall and has identified the interdisciplinary pedagogical implications implied by the author which can assist children in acquiring knowledge in various disciplines. The study supports the notion that AI tools can be utilised in the field of illustration, storytelling and as modern pedagogical tool by fostering creative skills and enhance pedagogical techniques. © 2025, Iquz Galaxy Publisher. All rights reserved.",2025,Shiny Karunya T.; Grace V.M.B.; Kharmawlong A.; Abisha A.P.; Preha C.; Wilson D.D.,International Research Journal of Multidisciplinary Scope,Artificial Intelligence; ChatGPT; Dall-E; Interdisciplinary Pedagogy; Midjourney; Modern Illustrations,Not Available,0,"Department of English, Karunya Institute of Technology and Sciences, Tamil Nadu, Coimbatore, 641114, India; Department of Biotechnology, Karunya Institute of Technology and Sciences, Tamil Nadu, Coimbatore, 641114, India",10.47857/irjms.2025.v06i03.04650,Article,English
"Pedagogical conundrum, assessment anxiety, and employability dilemma: a qualitative exploration of staff perspectives on the great GenAI quandary in higher education","Situated within the scholarship on how artificial intelligence (AI) affects and is affected by society, this article offers a distinctly empirically grounded, methodologically rigorous, theoretically rooted, and conceptually novel understanding of the great Generative AI (GenAI) quandary in higher education (HE). Drawing on sociological discourse on the purposes of education, it analyses exploratory qualitative data produced from semi-structured individual interviews (n = 10) and focus groups (n = 5) conducted with staff across Faculties at a Russell Group university. Serving as both educators and academic integrity officers, the research participants were uniquely positioned to provide valuable insights into how GenAI use speaks to the notion of what a university is for. These insights are embodied in the themes of pedagogical conundrum, assessment anxiety, and employability dilemma. Premised on socialisation processes, the pedagogical conundrum stems from GenAI’s potential to expand the scope of learning, a potential often eclipsed by the ethical considerations and unintended consequences associated with its (mis)use. Assessment anxiety emanates from staff awareness of the numerous ways in which GenAI tools could be misused by students in HE appraisals without detection, thereby making authenticity an urgent priority in evaluation processes to sustain the legitimacy of HE qualifications. The employability dilemma arises from the subjectification function of HE, which is perturbed when staff acknowledge the need to upskill the future workforce for an increasingly GenAI-powered labour market yet feel unable to fully dismiss lingering concerns that overuse of GenAI could deskill prospective graduates in core employability skills. Woven together, these themes generate a conceptually innovative continuum of emerging opportunities and ongoing challenges of embedding GenAI in HE practices that embodies a new discourse in the form of the great GenAI quandary. From this theoretical development, the article considers possible adaptations required for GenAI’s assimilation into the institutional framework for teaching and learning in HE institutions. Overall, the article offers timely insights into the ongoing and rapidly evolving impact of GenAI on the social contract between education and society. © The Author(s) 2026.",2026,Gupta A.,AI and Society,Academic integrity; Assessment; Employability; Generative artificial intelligence (GenAI); Higher education (HE); Pedagogy,Artificial intelligence; Education computing; Employment; Students; Academic integrity; Assessment; Employability; Generative artificial intelligence; High education; High educations; Pedagogy; Qualitative data; Qualitative exploration; Semi-structured; Teaching,0,"Southampton Education School, University of Southampton, Southampton, United Kingdom",10.1007/s00146-026-03072-z,Article,English
Decoding the AI job market: mapping skills and classifying careers through online job ads,"Purpose – The rapid advancement of artificial intelligence (AI) is profoundly reshaping the labor market, intensifying competition for specialized talent. This study investigates the evolving structure of AI-related employment by identifying key occupational categories and skill sets, with a particular focus on the strategic role of social media platforms in talent acquisition and workforce intelligence. Design/methodology/approach – Drawing on 18, 947 unique AI-related job postings collected from LinkedIn during the first three quarters of 2024, the study leverages the platform's dual function as a professional social network and recruitment tool. Using data science techniques, it classifies AI job roles and maps their associated skill requirements, offering a real-time, data-driven perspective on employer demand. Findings – The analysis reveals that roles in data and analytics dominate the AI job landscape, followed by strong demand in business and operations. Notably, AI-related positions are expanding into non-technical domains such as education, customer service and the creative industries. Frequently required skills include communication, Python and machine learning. Cosine similarity analysis uncovers distinct clusters of competencies, underscoring the growing importance of hybrid profiles that integrate technical expertise with socio-emotional capabilities. The findings also highlight how employers strategically use LinkedIn to signal evolving talent needs, shape employer branding and engage with potential candidates in a competitive digital labor market. Originality/value – By harnessing LinkedIn job advertisements as a lens into the social media-enabled labor market, this study contributes to emerging scholarship on digital talent acquisition and workforce transformation. It offers actionable insights for job seekers, educators and policymakers navigating the AI-driven employment landscape. © 2025 Emerald Publishing Limited",2025,Nakash M.; Peretz O.,Employee Relations,Artificial intelligence; Digital labor market; LinkedIn; Online job ads; Skill set; Social media; Workforce analytics,Not Available,3,"Department of Management, Bar-Ilan University, Ramat Gan, Israel; Department of Management, Bar-Ilan University, Ramat Gan, Israel",10.1108/ER-07-2025-0566,Article,English
AI failure loops in devalued work: The confluence of overconfidence in AI and underconfidence in worker expertise,"A growing body of literature has focused on understanding and addressing workplace artificial intelligence (AI) design failures. However, past work has largely overlooked the role of the devaluation of worker expertise in shaping the dynamics of AI development and deployment. In this paper, we examine the case of feminized labor: a class of devalued occupations historically misnomered as “women’s work,” such as social work, K-12 teaching, and home healthcare. Drawing on literature on AI deployments in feminized labor contexts, we conceptualize AI Failure Loops: a set of interwoven, sociotechnical failure modes that help explain how the systemic devaluation of workers’ expertise negatively impacts, and is impacted by, AI design, evaluation, and governance practices. These failures demonstrate how misjudgments on the automatability of workers’ skills can lead to AI deployments that fail to bring value to workers and, instead, further diminish the visibility of workers’ expertise. We discuss research and design implications for workplace AI, especially for devalued occupations. © The Author(s) 2026. This article is distributed under the terms of the Creative Commons Attribution-NonCommercial 4.0 License (https://creativecommons.org/licenses/by-nc/4.0/) which permits non-commercial use, reproduction and distribution of the work without further permission provided the original work is attributed as specified on the SAGE and Open Access page (https://us.sagepub.com/en-us/nam/open-access-at-sage).",2026,Kawakami A.; Taylor J.; Fox S.; Zhu H.; Holstein K.,Big Data and Society,AI design and evaluation; AI failures; Devalued work; feminized labor; technology and labor; workplace AI,Artificial intelligence; Engineering education; Failure (mechanical); Safety engineering; Artificial intelligence design and evaluation; Artificial intelligence failure; Design and evaluations; Design failures; Devalued work; Feminized labor; Social work; Technology and labor; Workers'; Workplace artificial intelligence; Employment,0,"Human-Computer Interaction Institute, Carnegie Mellon University, Pittsburgh, PA, United States",10.1177/20539517261424164,Article,English
Institutional transformation through artificial intelligence in higher education supporting Oman Vision 2040,"The aim of the article is to demonstrate how AI can be used in the education sector of the Oman country through the establishment of modern technology, innovation, and strategic development in the institutions of higher learning to be consistent with the Oman Vision 2040. This paper reinvents the adoption of artificial intelligence in Oman higher education using Sociotechnical Systems Theory, as the proposed claim suggests that the institutional change process requires the synchronization of technological infrastructure, rules and regulations, the faculty capacity, and the national policy goals under the Oman Vision 2040. The study employs a mixed methodology to assess the readiness of the faculty, institutional preparedness, and perceived obstacles to the adoption of AI. The articles include surveys conducted by faculty members from various specializations. According to the survey, 86.2% of the faculty believe that there is a significant potential for using AI in higher education. Additionally, most of the faculty members (84.1%) are aware of AI's contributions to research and teaching activities, and about half (53.5%) of the faculty support the inclusion of AI as a core part of the educational strategy in the future. The findings also indicate that AI can enhance learning and skills for learners to prepare them for a high-tech, AI-driven economy. AI has the potential to contribute to other aspects of national development such as a robust labor market in AI. The study suggests that successful adoption of AI would require a systematic, collaborative, and unified framework, including ethical standards and partnership with AI entities. © The Author(s) 2026.",2026,Alzakwani M.H.S.; Al Qamashoui A.; Raman A.,Discover Education,Artificial intelligence; Economic diversification; Higher education; Institutional transformation; Oman Vision 2040,Not Available,0,"University of Technology and Applied Sciences, Al Musannah, Oman; Department of Economics and Business Administration, University of Technology and Applied Sciences, Al Musannah, Oman; Department of Economics and Business Administration, University of Technology and Applied Science - Al Musannah, Al Muladdah, Oman",10.1007/s44217-026-01635-2,Article,English
Status of Higher Education in India: Challenges & Issues,"Higher education is essential for developing careers, encouraging creativity, advancing society and boosting the economy of the country. However, because of India’s significant increase in the Gross Enrollment Ratio in higher education, there has been a decline in employment. Academic standards and quality assurance are essential, but tailored policies and programs are also needed to address accessibility difficulties. In higher education, digital technologies present both benefits and limitations. Collaboration between academics and industry is necessary to address the critical skills gap that exists between graduates and labour market demands. In order to secure higher education’s survival in the 21st century, institutions must give diversity initiatives top priority and put in place policies that support fairness and social justice. © 2024, Indian Pharmaceutical Association. All rights reserved.",2024,Khamkat P.; Barik V.; Barik B.B.,Pharma Times,challenges; employability; GER; higher education; India; job market; opportunity; skill development,Article; artificial intelligence; awareness; creativity; digital technology; economic aspect; education; employability; employment; fairness; gross enrollment ratio; health care cost; human; independence; India; industry; job market; learning; lowest income group; machine learning; medical education; medical research; organization and management; philosophy; quality control; school; skill; skill development; social justice; symposium; teaching; tertiary education; training,0,"Brainware University, West Bengal, Kolkata, India",Not Available,Article,English
GenAI-Enabled AI Teachers and Student Learning Engagement Across International Higher Education Contexts,"Generative Artificial Intelligence (GenAI) is reshaping how students engage with learning both within and beyond traditional classroom settings. In a time when the development of transferable skills is essential for enabling students to thrive in varied and rapidly evolving environments, the potential of GenAI to enhance learning engagement remains insufficiently understood. Despite rising interest in interactive, personalised learning companions that enable deep engagement and ongoing skills development, scholarly research remains limited. This gap constrains effective institutional use of GenAI, reinforces black-box thinking, and restricts understanding of meaningful student engagement and skills acquisition. This paper investigates how a GenAI-enabled AI teacher supports student learning engagement, focusing on behavioral engagement as evidenced by learner interaction and participation patterns across diverse international higher education institutions. Using a combination of quantitative engagement metrics and qualitative learner reflections, the study examines how GenAI supports personalised learning, sustained interaction, autonomy, and cognitive engagement among students with varying educational backgrounds. The findings demonstrate that GenAI-based teaching systems can promote meaningful learning engagement, enhance motivation, and strengthen the development of transferable and employability skills. The study contributes empirical evidence to current debates on GenAI integration, teacher practices, and student engagement, offering implications for curriculum design and institutional adoption of GenAI-enabled learning tools. © 2026 by the authors.",2026,Berglund A.; Otermans P.C.J.; Aditya D.,Education Sciences,AI integration; AI readiness; AI teacher; employability; GenAI; higher education; pedagogical innovation; transferable skills,Not Available,0,"Department of Engineering Sciences, Mälardalen University, Eskilstuna, 63105, Sweden; Otermans Institute, London, UB8 3QR, United Kingdom",10.3390/educsci16040600,Article,English
May the Fourth Be with You: Creating Education 4.0,"The paper looks back across dominant ways of delivering Higher Education until the present day and then looks forward. There is an approximate continuum described from Education 1.0 through 2.0 to 3.0. Education is mapped onto the emergence and development of the Web and the revolutions known as ‘Industrial’ over the last 250 years. Then some foresight is deployed with the particular lens of graduates’ employment prospects and contributions to the future – dubbed ‘Education 4.0’. The paper hopes to stimulate dialogue and promote preparedness and innovation for more changes arriving fast over Higher Education’s wider horizons. © 2019, Commonwealth of Learning. All rights reserved.",2019,Salmon G.,Journal of Learning for Development,Artificial Intelligence; Education 1.0; Education 2.0; Education 3.0; Education 4.0; foresight; Fourth Industrial Revolution; Higher Education transformation; hindsight; Industry 4.0; insight; skills of the future,Not Available,135,"Online Education Services, United Kingdom",10.56059/jl4d.v6i2.352,Article,English
A cloud game-based educative platform architecture: The cyberscratch project,"The employment of modern technologies is widespread in our society, so the inclusion of practical activities for education has become essential and useful at the same time. These activities are more noticeable in Engineering, in areas such as cybersecurity, data science, artificial intelligence, etc. Additionally, these activities acquire even more relevance with a distance education methodology, as our case is. The inclusion of these practical activities has clear advantages, such as (1) promoting critical thinking and (2) improving students’ abilities and skills for their professional careers. There are several options, such as the use of remote and virtual laboratories, virtual reality and gamebased platforms, among others. This work addresses the development of a new cloud game-based educational platform, which defines a modular and flexible architecture (using light containers). This architecture provides interactive and monitoring services and data storage in a transparent way. The platform uses gamification to integrate the game as part of the instructional process. The CyberScratch project is a particular implementation of this architecture focused on cybersecurity game-based activities. The data privacy management is a critical issue for these kinds of platforms, so the architecture is designed with this feature integrated in the platform components. To achieve this goal, we first focus on all the privacy aspects for the data generated by our cloud game-based platform, by considering the European legal context for data privacy following GDPR and ISO/IEC TR 20748-1:2016 recommendations for Learning Analytics (LA). Our second objective is to provide implementation guidelines for efficient data privacy management for our cloud game-based educative platform. All these contributions are not found in current related works. The CyberScratch project, which was approved by UNED for the year 2020, considers using the xAPI standard for data handling and services for the game editor, game engine and game monitor modules of CyberScratch. Therefore, apart from considering GDPR privacy and LA recommendations, our cloud game-based architecture covers all phases from game creation to the final users’ interactions with the game. © 2021 by the authors.",2021,Tobarra L.; Utrilla A.; Robles-Gómez A.; Pastor-Vargas R.; Hernández R.,Applied Sciences (Switzerland),Cloud learning environments; Cybersecurity; Data privacy management; Game-based education; Gamification; Learning analytics (la); Standards,Not Available,24,"Department of Control and Communication Systems, Computer Science Engineering Faculty, Spanish National University for Distance Education (UNED), Madrid, 28040, Spain",10.3390/app11020807,Article,English
Pharmacy students' perceptions of artificial intelligence integration in pharmacy practice: Ethical challenges in multiple countries of the MENA region,"Background: The integration of artificial intelligence (AI) into pharmacy practice has the potential to advance learning experiences and prepare future pharmacists for evolving healthcare needs. However, it also raises ethical considerations that need to be addressed carefully. This study aimed to explore pharmacy students' attitudes regarding AI integration into their future pharmacy practice. Methods: A cross-sectional design was employed, utilizing a validated online questionnaire administered to pharmacy students from diverse demographic backgrounds in multiple countries of the Middle East and North Africa (MENA) region from August 2022 to January 2023. Demographic, education, and work information data were, respectively, collected from study participants. In addition, technology literacy and AI familiarity were collected using a Likert scale on skill and a Likert scale on familiarity. Finally, participants' concerns and perceived barriers regarding AI integration were collected based on a Likert scale on agreement. Results: A total of 702 pharmacy students participated in the study, with the majority being female (72.8 %), enrolled in public universities (55.6 %), and not employed (64.2 %). Participants expressed a generally negative attitude towards AI integration, where 56.2–70.8 % of respondents agreed/strongly agreed to concerns/barriers including patient data privacy (62.0 %), susceptibility to hacking (56.2 %), potential job displacement (69.3 %), cost limitations (66.8 %), access (69.1 %), the absence of regulations (68.1 %), and training (70.4 %), physicians' reluctance (65.1 %), and patient apprehension (70.8 %). Factors including country of residence, academic year, cumulative GPA, work status, technology literacy, and AI understanding influenced participants' attitudes. Positive correlations were found between attitude score and tech-savviness (r = 0.174), and AI understanding (r = 0.155). Conclusion: Pharmacy students from multiple countries in the MENA region express significant ethical and practical concerns about AI's integration into their future practice. These findings underscore the need for incorporating AI education within pharmacy curricula, alongside the development of robust ethical guidelines and regulatory policies. Addressing students' concerns is crucial to ensuring ethical, equitable, and beneficial AI integration in future pharmacy practice. © 2025 Elsevier Inc.",2025,Hasan H.E.; Jaber D.; Khabour O.F.; Alzoubi K.H.,Currents in Pharmacy Teaching and Learning,Artificial intelligence; Ethics; MENA; Pharmacy education; Pharmacy practice; Technology literacy,"Adult; Africa, Northern; Artificial Intelligence; Attitude of Health Personnel; Cross-Sectional Studies; Education, Pharmacy; Female; Humans; Male; Middle East; Perception; Students, Pharmacy; Surveys and Questionnaires; Article; artificial intelligence; controlled study; cross-sectional study; data privacy; demographics; educational status; employment; employment status; health care cost; household income; human; income; Likert scale; literacy; Middle East; nationality; North Africa; online questionnaire; patient coding; pharmacy education; pharmacy practice; pharmacy student; skill; socioeconomics; student attitude; adult; Africa; ethics; female; health personnel attitude; male; perception; procedures; psychology; questionnaire",2,"Department of Clinical Pharmacy, Faculty of Pharmacy, Jordan University of Science and Technology, Irbid, 22,110, Jordan; Department of Clinical Pharmacy, Faculty of Pharmacy, Zarqa University, Zarqa, 13,110, Jordan; Department of Medical Laboratory Sciences, Faculty of Applied Medical Sciences, Jordan University of Science and Technology, Irbid, 22,110, Jordan; Department of Pharmacy Practice and Pharmacotherapeutics, College of Pharmacy, University of Sharjah, Sharjah, 27,272, United Arab Emirates; Faculty of Pharmacy, Jordan University of Science and Technology, Irbid, 22,110, Jordan",10.1016/j.cptl.2025.102397,Article,English
Attitudes towards artificial intelligence in professional and personal life; [Отношение к искусственному интеллекту в профессиональной и личной жизни],"Introduction. Digital competence is seen as key to employment, education, and social domains in the 21st century. At the same time, there is no universal framework for studying attitudes towards artificial intelligence (AI) and its use in professional and personal life. Aim. The aim of the present research is to outline respondents’ attitudes towards the benefits and threats of AI that may facilitate or hinder the process of intelligent AI integration into different aspects of life. Methodology and research methods. This article outlines results from a pilot study of attitudes towards AI, conducted with a sample of 125 Bulgarian students and professionals. The research design is mixed (quantitative and qualitative) and includes questionnaire, focus groups and interviews. Results and scientific novelty. The results reveal that both young people and adults base their opinions on their assessment of AI performance and find positive implications in terms of facilitating task performance, but have strong reservations concerning job security and the use of AI in the social sphere. They also suggest that AI skills need to become integrated into education. Future research directions highlighted include differentiating between educational, professional, and personal domains and self-assessing digital literacy from an evidence-based vs. state of the art perspective. Practical significance. Insights from this study focus on mindful mindset, educational settings and the redesign of educational content, particularly forms of critical engagement and use of AI. © Tsenov M.Y., Bakracheva M.A.S.",2025,Tsenov M.Y.; Bakracheva M.A.S.,Obrazovanie i Nauka,artificial intelligence; artificial intelligence in education; attitudes towards artificial intelligence,Not Available,5,"Sofia University St. Kliment Ohridski, Sofia, Bulgaria",10.17853/1994-5639-2025-2-159-174,Article,English
Physician perceptions of artificial intelligence in Northern Italy healthcare: a survey of fears and expectations,"Introduction: Artificial Intelligence (AI) is more and more spreading but despite the clear evidence of benefits related to its implementation, many physicians worry about ethical, legal, employment and professional changes that AI is going to induce. The purpose of this paper is to assess whether and why physicians worry about AI. Methods: This study is a cross-sectional survey addressed to a group of 362 Northern Italy hospitals physicians, both specialists and residents from selected specialties were asked to fill in a 27 multiple-choice online survey submitted by e-mail. The survey aimed to evaluate their opinions and expectations about the impact of AI on clinical, employment and ethical topics. The results were evaluated by the software Stata that enabled to carry out a multivariate analysis with the evaluation of the statistical significance of the results obtained. Results: 176 physicians (48%) answered the survey. The knowledge of the topic “AI” was reported as mild in 47%, poor in 30% and good in 15%; 98% of the responders believe that AI will improve medical activities, in particular by reducing medical errors. The legal problems, the worsening of the relationship with the patients and the deep changes of the medical role have been considered its most negative expected consequences. From an employment point of view, most responders believe that the AI cause the replacement of physicians by other professional figures. The most frequent sensations caused by AI are optimism (34%), worry (30%) and enthusiasm (13%), while anxiety is reported by 9% of the responders. The responders also believe that new dedicated digital technologies and new skills will be needed. Deep changes in the formation of physicians and residents are deemed to be necessary. Gender influences the response given on the effects of AI: women tend to be overall more pessimistic, predicting greater impacts on training, with a substantially negative feeling and with a lower probability of easing litigation. The responses are not correlated with the doctor’s specialty of the respondent. The region, which influences the responses on training and feelings, does not influence the response on the effect of AI on litigation. The respondents’ origins in some regions of northern Italy and the selection of some medical specialties must be considered limitations of the reported analysis. Copyright © 2025 Torricelli, Torricelli, Bertelli, Sandi and Pecchi.",2025,Torricelli P.; Torricelli C.; Bertelli B.; Sandi M.; Pecchi A.,Frontiers in Artificial Intelligence,artificial intelligence (AI); benefits; employment; mood; negative effects; public health; survey; training,Not Available,0,"Division of Radiology, Department of Medical and Surgical Sciences of Children and Adults, University of Modena and Reggio Emilia, Modena, Italy; Department of Economics and Finance, Catholic University of the Sacred Heart, Milan, Italy; Marco Biagi Economics Department, University of Modena and Reggio Emilia, Modena, Italy",10.3389/frai.2025.1624789,Article,English
Predictive Insights into Digital Competencies: A Data-Driven Approach to Inclusion,"Despite their significant demographic presence, accounting for nearly 16% of the global population, persons with disabilities (PWDs) remain underrepresented in research on their inclusion in digital society, revealing a significant gap in scientific understanding compared to the general population. To address this gap, this study proposes an innovative approach to empowering PWDs by developing predictive models that anticipate PWDs’ digital competence perceptions based on socio-demographic and contextual factors. The study was conducted on a sample of 250 PWDs in Serbia using a validated instrument based on the Digital Competence Framework (DigComp). Standard multiple regression was used to estimate the models for each DigComp competence area. The results show that three variables are statistically significant in all five DigComp areas: age, health conditions (walking impairments) and employment status (employed). The prediction of PWDs’ digital competence is also influenced by gender and education level, which were found to be statistically significant predictors in four DigComp competence areas. The development of predictive models that assess PWDs’ digital competence perceptions based on socio-demographic profiles enables personalized support and promotes digital inclusion through emerging technologies such as artificial intelligence (AI). The limitations of the study lie in the sample size, method of data collection and reliance on self-assessment. © 2025 Taylor & Francis Group, LLC.",2025,Lazic M.; Simovic V.; Domazet I.; Abdallah F.,Journal of Technology in Human Services,DigComp; digital competence; Information and communication technology; persons with disabilities; predictive models,adult; article; artificial intelligence; communication technology; competence; controlled study; disabled person; employment status; female; human; male; multiple regression; prediction; predictive model; self evaluation; Serbia; walking,1,"Institute of Economic Sciences, Digital Economics Department, Belgrade, Serbia; Institute of Economic Sciences, Digital Economics Department, Belgrade, Serbia & Scientific Research Center, Australian University, Kuwait, Kuwait; College of Business, Australian University, Kuwait, Kuwait",10.1080/15228835.2025.2491344,Article,English
Educational attainment and anxiety over AI-induced job loss: survey-based evidence from China,"The Fourth Industrial Revolution has reshaped labour markets, intensifying concerns about job displacement by artificial intelligence (AI). Although education has historically mitigated employment risks, whether this protective effect persists in the AI era remains contested. Drawing on a nationwide online survey of Chinese citizens, we show that higher educational attainment is associated with lower anxiety about AI-induced job loss. Decomposition analyses indicate that this association cannot be explained by occupational placement or income alone; rather, it is their joint configuration—particularly higher incomes within AI-relevant industries—that accounts for much of the observed correlation. Beyond these structural advantages, education also exerts a cognitive protective role: better-educated individuals tend to engage with AI more prudently and are more likely to use it as a work-assisting tool, both of which are negatively associated with anxiety. These findings refine the skill-biased technological change framework by demonstrating that, in the AI era, ‘high skill’ entails not only advantaged occupational positions but also the capacity for thoughtful and strategic engagement with AI. Overall, the results underscore the continued relevance of education in shaping workers’ perceptions of and responses to emerging technologies, highlighting its role in enhancing labour-market resilience. © 2026 Informa UK Limited, trading as Taylor & Francis Group.",2026,Hu A.; Xiao Y.; Du S.; Bao Y.,British Journal of Sociology of Education,anxiety over AI-induced job loss; China; Educational attainment; mastery; work-oriented AI use,Not Available,0,"Department of Sociology, Center for Social Development and Intelligence Research, Fudan University, Shanghai, China; Penguin Scope, Beijing, China",10.1080/01425692.2026.2657326,Article,English
